gene	t	p	log2FC	padj	corr_with_FXN
ZDHHC5	9.961959111060635	1.8319898844907407e-11	0.3539318995860974	3.0284624780516435e-07	-0.7050126499648379
NTHL1	-8.774558056088397	3.9148751435548367e-10	-0.7129171035530799	1.6179200249526251e-06	0.690797251079595
ZNF449	-8.921964382699299	2.9964054496998075e-10	-0.5669031642113218	1.6179200249526251e-06	0.7060325157231538
FXN	-9.956763607104595	3.203207837842317e-10	-1.2371941979113092	1.6179200249526251e-06	1.0
RAB34	-8.69416651789556	6.916081254756606e-10	-0.43512317562174374	2.286594784447629e-06	0.6361334740994685
THYN1	-8.368189106780457	2.9759692186435146e-09	-0.6307999820930057	6.4710265468374334e-06	0.6925976525354208
PRRG4	8.06098713901667	3.0937327725788215e-09	1.9202820533028755	6.4710265468374334e-06	-0.6977459037721684
HIATL1	8.283687390477208	3.131583834898038e-09	0.43720687019277094	6.4710265468374334e-06	-0.6818047995907762
SLC26A2	8.015531172572905	3.5891454315432517e-09	0.5899091245058354	6.592462569871278e-06	-0.6651611263677099
SLC25A3	-7.7169732693490865	7.897271415706074e-09	-0.42054159119182977	1.305497937730371e-05	0.7001065404847363
GMPR2	-8.160131207407613	1.7431407229488423e-08	-0.5586680266805804	2.61962357191521e-05	0.7030917148500432
FXR1	-7.2693772955529905	2.4543134210018375e-08	-0.29011883988750853	3.381021263548448e-05	0.6655364063224728
IRAK4	-7.279674602133566	3.425402235789917e-08	-0.4366576568232965	4.355794181526394e-05	0.6557005372812118
ZNF557	-7.040505879489379	4.746928171204179e-08	-0.3760280945390573	5.605104971298306e-05	0.5658133104906612
CYP26B1	6.98637734107468	5.480276069684713e-08	2.5918912439277024	5.662152731747374e-05	-0.6898562954045568
LHFPL2	7.005865886398534	5.1932275292175204e-08	0.9886610738586654	5.662152731747374e-05	-0.7354394575351875
TIA1	-7.391730687928392	7.006058884376386e-08	-0.5556313722894544	6.812774083389767e-05	0.6182912104827033
N6AMT1	-6.934823015591807	7.653548658791073e-08	-0.5119262133975759	7.028934048804179e-05	0.6927585798403196
MAPK13	6.806353893489125	9.273401965401945e-08	0.9566659183844148	7.664930394502977e-05	-0.5559782902554357
SNORD114-20	-7.064460686078599	9.025928829456194e-08	-1.460154134670689	7.664930394502977e-05	0.5976139623782134
CDC42EP5	-7.268319952372789	1.154854032220245e-07	-0.9169191199311708	9.090900955539462e-05	0.5786726535264128
C1orf63	-6.943039282457255	1.576122496718134e-07	-0.6106544729543817	0.00011583814722625503	0.5748877748964084
ZZZ3	-6.704726047775898	1.611685552116548e-07	-0.33276047118254226	0.00011583814722625503	0.6627196511952069
COPS4	-6.590118796756388	1.7220230802584666e-07	-0.49166710926417956	0.00011861151474896962	0.6161131448857805
SNORD114-21	-6.764705023053966	1.8901916705634935e-07	-1.5497584526861337	0.000123006438609848	0.5456954441316778
C20orf111	-6.75569336561809	1.93464848094855e-07	-0.44717815253414983	0.000123006438609848	0.6180528575558395
LRRC32	6.756983962648548	2.1231151067909514e-07	1.6008731391048237	0.0001299896882605971	-0.7299817887090546
LUC7L	-6.486641216033797	2.3342174619108644e-07	-0.33762801177772594	0.00013305844435465	0.6192298665329286
VWA7	-6.514776746409236	2.2907204707116158e-07	-1.5216327880505358	0.00013305844435465	0.697884512480666
CCS	-6.6375305784613845	2.4890706931250167e-07	-0.3321581318797797	0.00013715609209349883	0.5281823115099016
SLC35E3	6.43723866975028	2.6975251598318233e-07	0.5689488294486136	0.00014384770457154798	-0.6656588928746416
LTA4H	-6.70930140674133	2.9571392787371326e-07	-0.5558315790718886	0.0001483303095459685	0.6132600843911605
ANKS1B	6.393287447712866	3.1405001718643147e-07	1.8275130363860477	0.0001483303095459685	-0.7202047589808325
SLC35B4	6.385487389129468	3.125563963284323e-07	0.4153392245037608	0.0001483303095459685	-0.6000181548180937
MTR	6.462458060718721	3.0998792727330025e-07	0.3269952104619982	0.0001483303095459685	-0.6262544743303087
LOC100128361	6.373051545340578	3.5506040920522317e-07	0.7130908623013363	0.00016304176734920956	-0.6369270089911806
TCEANC	-6.334640405286702	4.083717962990866e-07	-0.6920050357662078	0.000168769854115505	0.5830917980608794
RPSA	-6.4366084650219895	3.812235568347521e-07	-0.6914145641676672	0.000168769854115505	0.7272665861860655
RPP25L	-6.611350332722974	4.01129216170222e-07	-0.4788374242658051	0.000168769854115505	0.6599190430812811
QARS	-6.347599483929996	3.996569109390669e-07	-0.44461328212587325	0.000168769854115505	0.5619287255023259
